"Timestamp","FCU-00-04  PIR Log","FCU-00-04   Enable Log","FCU-00-04  Status Log"
"4/03/2020 3:34:58 PM","0.00","1.00","1.00"
"4/03/2020 3:26:23 PM","1.00","1.00","1.00"
"4/03/2020 3:26:21 PM","1.00","1.00","0.00"
"4/03/2020 3:26:12 PM","1.00","0.00","0.00"
"4/03/2020 10:54:53 AM","0.00","0.00","0.00"
"4/03/2020 10:54:51 AM","0.00","0.00","1.00"
"4/03/2020 10:52:43 AM","0.00","1.00","1.00"
"4/03/2020 10:52:41 AM","0.00","1.00","0.00"
"4/03/2020 10:46:13 AM","0.00","0.00","0.00"
"4/03/2020 10:46:11 AM","0.00","0.00","1.00"
"4/03/2020 10:43:14 AM","0.00","1.00","1.00"
"4/03/2020 10:43:11 AM","0.00","1.00","0.00"
"4/03/2020 10:43:06 AM","0.00","0.00","0.00"
"4/03/2020 10:43:01 AM","0.00","0.00","1.00"
"4/03/2020 10:42:59 AM","0.00","1.00","1.00"
